,Company,0217price,0217amt,0517price,0517amt,0817price,0817amt,1117price,1117amt,0217-0517chng,0517-0817chng
436,BOSTON BEER INC,169.852083857,87482,144.644417829,123572,132.146972943,141441,156.194130373,122495,36090,17869
437,BOSTON PRIVATE FINL HLDGS IN,16.5500142783,2885496,16.4000149983,2773656,15.3504532161,2684481,16.5497989548,2855080,-111840,-89175
438,BOSTON PROPERTIES INC,125.779966269,2213397,132.410280378,1848648,123.019778915,2554134,122.879804906,2491516,-364749,705486
439,BOSTON SCIENTIFIC CORP,21.6300988852,5309592,24.8700006535,5585605,27.7199701119,7338031,29.1701163193,8444087,276013,1752426
440,BOTTOMLINE TECH DEL INC,25.020409199,1142867,23.650399393,1155879,25.6898988094,1231340,31.8296304977,1382454,13012,75461
441,BOULDER GROWTH & INCOME FD I,8.94063831999,336665,9.29866948592,328219,9.71058719885,251993,10.2127962423,28102,-8446,-76226
442,BOX INC,13.8564991962,44167,16.3098438695,324344,18.2399513638,717162,19.3211746173,566891,280177,392818
443,BOYD GAMING CORP,20.1697677659,495147,22.0087895862,287158,24.8099049003,1678765,26.0500231693,2211975,-207989,1391607
444,BP PLC,37.3799906801,7648156,34.5200256357,6461293,34.650070802,5980767,38.4300507395,5547950,-1186863,-480526
445,BRADY CORP,37.5514963821,523095,38.6497215128,487455,33.9006020386,487012,37.9503073285,749849,-35640,-443
446,BRANDYWINE RLTY TR,16.5098503126,985654,16.2300338568,1808499,17.5300231377,1530403,17.4905067636,975958,822845,-278096
447,BRASKEM S A,21.2102699489,366662,20.3494138392,1003223,20.7128256426,91972,26.7397975003,93531,636561,-911251
448,BRF SA,14.7575121977,266034,12.2504814397,376475,11.7898628675,1069987,14.4100899451,1769524,110441,693512
449,BRIDGEPOINT ED INC,10.1263846607,140919,10.6672770974,87370,14.7620860297,131350,9.59923966419,94695,-53549,43980
450,BRIGGS & STRATTON CORP,22.2582075851,96953,22.4520260997,83066,24.1019314688,108622,23.4944908258,170806,-13887,25556
451,BRIGHT HORIZONS FAM SOL IN D,70.0290319838,82323,72.4894566347,98166,77.2098176169,240099,86.2095257969,996746,15843,141933
452,BRIGHTCOVE INC,8.05590253263,55239,8.90522472742,40538,6.22146405098,19931,7.22746436459,14943,-14701,-20607
453,BRINKER INTL INC,49.5304086224,949336,43.9599623055,745997,38.1003374556,827368,31.8592911261,806829,-203339,81371
454,BRINKS CO,41.2490043732,266164,53.4443019753,127123,67.0082315954,111643,84.2532994896,181619,-139041,-15480
455,BRISTOL MYERS SQUIBB CO,58.4400419943,6722822,54.3801188709,10760918,55.7198793705,10326494,63.7399493127,12184117,4038096,-434424
456,BRISTOW GROUP INC,20.4842634171,101102,15.2059077669,112259,7.64643984567,128295,9.34777091617,165494,11157,16036
457,BRITISH AMERN TOB PLC,112.669929787,2048346,66.3199943435,13350936,68.5399640159,15532398,62.4499407084,13469028,11302590,2181462
458,BRIXMOR PPTY GROUP INC,24.4200255083,12341060,21.4599712973,13138135,17.8799869878,10298050,18.7999518818,10607208,797075,-2840085
459,BROADCOM LTD,176.770141447,2147512,218.959649553,2302205,233.049890686,2984966,242.539856856,3063212,154693,682761
460,BROADRIDGE FINL SOLUTIONS IN,66.2997995598,1566053,67.9499778436,1326932,75.560677044,1323400,80.820661334,1288668,-239121,-3532
461,BROADSOFT INC,41.2515878853,59828,40.1980685243,130056,43.0470732313,124933,50.3011427394,87334,70228,-5123
462,BROCADE COMMUNICATIONS SYS I,12.489981859,17395942,12.4799897775,13523088,12.6099922617,16763452,11.9499982137,13267366,-3872854,3240364
463,BROOKDALE SR LIVING INC,12.4200452035,2978089,13.4299719423,3707007,14.7098725962,4020837,10.599973452,4105765,728918,313830
464,BROOKFIELD ASSET MGMT INC,33.0097782712,1787228,36.4599393126,1242103,39.2103874169,947300,41.2999506908,993730,-545125,-294803
465,BROOKFIELD PPTY PARTNERS L P,21.9908840245,266565,22.2592728109,265103,23.6682093099,247843,23.3481254007,237064,-1462,-17260
466,BROOKFIELD RENEWABLE ENRGY P,29.6988622715,91586,29.7302920467,91321,31.9422751171,90914,33.5218574977,109093,-265,-407
467,BROOKLINE BANCORP INC DEL,16.4000937701,2376023,15.6502970522,2284110,14.6000709011,2341290,15.5001959312,2449840,-91913,57180
468,BROOKS AUTOMATION INC,17.070008643,189748,22.4009568554,197313,21.6897455585,188845,30.3587392704,297542,7565,-8468
469,BROWN & BROWN INC,44.8602965322,1132828,41.7204955616,913388,43.0696623395,849670,48.1904428972,1029810,-219440,-63718
470,BROWN FORMAN CORP,44.9392206431,3495677,46.1983235204,1513648,48.6200661331,1110488,54.3273382171,2216582,-1982029,-403160
471,BRUKER CORP,21.1799851589,1878566,23.3296936769,1588062,28.8401845316,1367571,29.7505224009,1082502,-290504,-220491
472,BRUNSWICK CORP,54.5402352167,1142606,61.2003669339,1378995,62.7298277191,1084508,55.96992262,1317136,236389,-294487
473,BRYN MAWR BK CORP,42.1681530868,23098,39.4820363082,15754,42.4863857136,40766,43.7997941524,367262,-7344,25012
474,BT GROUP PLC,23.0303414722,536032,20.0909641353,355085,19.4089695942,320728,19.2405179084,524726,-180947,-34357
475,BUCKEYE PARTNERS L P,66.1599459564,5146951,68.5598949487,5033730,63.9300155509,5146972,56.9999386,4869707,-113221,113242
476,BUCKLE INC,22.802737447,143053,18.5969434727,184654,17.8009796339,232740,16.8480877032,257596,41601,48086
477,BUFFALO WILD WINGS INC,154.393559283,60987,152.753281515,112829,126.69952167,68990,105.694678774,105502,51842,-43839
478,BUILDERS FIRSTSOURCE INC,10.971367407,67266,14.8991062379,325590,15.3180800639,190298,17.9876039432,285252,258324,-135292
479,BUNGE LIMITED,72.2399604787,686213,79.2596531047,2098962,74.6002036325,1148147,69.4602792178,1394610,1412749,-950815
480,BURLINGTON STORES INC,84.7500398492,3055267,97.290088219,2977477,91.9896462652,2987521,95.4601155147,2595859,-77790,10044
481,BWX TECHNOLOGIES INC,39.7000585528,794155,47.6003476358,621340,48.7483401609,407419,56.0182174996,336819,-172815,-213921
482,C H ROBINSON WORLDWIDE INC,73.2596207301,1181797,77.289968797,1188990,68.6803003689,1157377,76.099796998,1809834,7193,-31613
483,CA INC,31.7699550915,5512315,31.7201599009,5614978,34.4698917989,5644027,33.380113724,4410680,102663,29049
484,CABLE ONE INC,621.742438653,10514,624.483563858,11134,710.876276419,8422,722.073695223,8603,620,-2712
485,CABOT CORP,50.5399610327,919233,59.9104981293,1022325,53.4299023463,906571,55.799661906,918088,103092,-115754
486,CABOT MICROELECTRONICS CORP,63.1692112086,600894,76.6108181585,645914,73.8308104444,185898,79.9289975166,234358,45020,-460016
487,CABOT OIL & GAS CORP,23.3603641084,1759476,23.9100018659,3354914,25.0800130452,3060126,26.7497109451,2987322,1595438,-294788
488,CACI INTL INC,124.298871269,115528,117.311650885,48580,125.04637022,62001,139.348973301,114834,-66948,13421
489,CADENCE DESIGN SYSTEM INC,25.2201019459,3221121,31.4001642414,4771026,33.4898643288,4033280,39.4698738784,5887731,1549905,-737746
490,CAE INC,13.96904954,549071,15.2887118392,696854,17.2398908519,915087,17.5305902918,535464,147783,218233
491,CAESARS ACQUISITION CO,13.5001447281,1323171,15.4000487232,1358697,19.0501740086,1360565,21.4499973333,1387506,35526,1868
492,CAESARS ENTMT CORP,8.49993696514,4862389,9.54993168812,4733437,11.9999437439,3910685,13.3498301935,2914494,-128952,-822752
493,CAESARSTONE SDOT-YAM LTD,28.6526109692,83762,36.253360713,94474,35.0480887793,101375,29.7992721031,188763,10712,6901
494,CAL MAINE FOODS INC,44.176426683,143357,36.8028205232,295548,39.5992957921,241974,41.101937658,296750,152191,-53574
495,CALAMP CORP,14.497863691,96428,16.7947931329,83121,20.3348563184,66536,23.2505076779,131481,-13307,-16585
496,CALATLANTIC GROUP INC,34.0100944347,1675973,37.4496662282,895522,35.3503227815,517223,36.6290312347,725026,-780451,-378299
497,CALAVO GROWERS INC,61.3973851815,116031,60.5919871199,32298,69.0597483216,29641,73.2011416554,66570,-83733,-2657
498,CALERES INC,32.8216647947,264429,26.4227808211,244978,27.7780493289,204586,30.5206384918,229353,-19451,-40392
499,CALGON CARBON CORP,16.9963579233,98021,14.591773673,58252,15.1048395111,30189,21.4008278702,470122,-39769,-28063
500,CALIFORNIA RES CORP,21.2901030145,152794,15.0416802708,483922,8.55274579017,172810,10.4595187082,402791,331128,-311112
501,CALIFORNIA WTR SVC GROUP,33.8999826308,1030561,35.8460598656,81850,36.8138321428,51937,38.1523704819,125523,-948711,-29913
502,CALITHERA BIOSCIENCES INC,3.22001362313,16149,11.5464132974,133981,14.8553557467,129179,15.748315775,138491,117832,-4802
503,CALIX INC,7.70288858322,21810,7.25745582629,51671,6.83484528396,32188,5.04619758351,28140,29861,-19483
504,CALLAWAY GOLF CO,10.959560171,1023125,11.0702248892,743255,12.7804597317,778454,14.4298408819,1238891,-279870,35199
505,CALLIDUS SOFTWARE INC,16.7953062717,66983,21.3393937605,33881,24.1992404127,119012,24.6433918419,108873,-33102,85131
506,CALLON PETE CO DEL,15.3700027561,4691411,13.1599706174,7333603,10.6099659886,7426037,11.2400985319,8891737,2642192,92434
507,CALPINE CORP,11.429914407,2740178,11.0501161749,2351197,13.5302858374,3006884,14.7500956938,4793935,-388981,655687
508,CALUMET SPECIALTY PRODS PTNR,3.99995931095,884759,3.80023046559,856527,4.2501506618,537628,8.34950695309,586861,-28232,-318899
509,CAMBREX CORP,53.9532555302,159805,55.0510410112,106483,59.7363119013,84873,54.9989187631,249714,-53322,-21610
510,CAMDEN NATL CORP,44.4429036955,14423,44.078101251,8553,42.8890032596,5829,43.6731742589,6915,-5870,-2724
511,CAMDEN PPTY TR,84.069848088,909803,80.4600014896,993562,85.510317767,1312251,91.4503598727,1309213,83759,318689
512,CAMECO CORP,10.469860105,1437364,11.0694277539,1161668,9.10016575236,1079321,9.67080035836,1314886,-275696,-82347
513,CAMPBELL SOUP CO,60.4698426524,2204355,57.2402666648,1959914,52.1501749442,1302987,46.8208855752,961793,-244441,-656927
514,CAMPING WORLD HLDGS INC,32.6044703596,20580,32.2373276827,42001,30.8516499174,105278,40.7454526699,29083,21421,63277
515,CANADIAN NAT RES LTD,31.8800199714,2167094,32.7895446322,1214381,28.84017295,1252385,33.4900489351,1374677,-952713,38004
516,CANADIAN NATL RY CO,67.3998533897,2469130,73.9297271467,1596719,81.0500517372,1499888,82.8504146823,987744,-872411,-96831
517,CANADIAN PAC RY LTD,142.770857552,483446,146.922299407,155327,160.80932739,360744,168.032606162,158743,-328119,205417
518,CANADIAN SOLAR INC,12.1033693163,6114,12.2691881908,163499,15.9214287084,312786,16.8407858239,419636,157385,149287
519,CANON INC,28.1406100827,279667,31.2714227715,300498,34.021595543,348220,34.3215126557,368253,20831,47722
520,CANTEL MEDICAL CORP,78.7453199676,115918,80.1042803984,89758,77.9044273204,77993,94.1684164316,241461,-26160,-11765
521,CAPELLA EDUCATION COMPANY,87.8006430255,104817,85.0257667807,108473,85.5978802247,100388,70.1396855388,74095,3656,-8085
522,CAPITAL BK FINL CORP,39.2857142857,10920,43.3924626241,46621,38.1019868633,183455,41.0487641951,389220,35701,136834
523,CAPITAL ONE FINL CORP,87.2400729446,6124651,86.6598123396,4842683,82.6199488244,5093443,84.6602600229,5319686,-1281968,250760
524,CAPITAL PRODUCT PARTNERS L P,3.18046903413,852390,3.57026630909,1683908,3.40033958307,1552492,3.49987664369,2440086,831518,-131416
525,CAPITAL SR LIVING CORP,16.0526473049,133872,14.0602120531,130439,15.1801499726,16403,12.5625112972,33194,-3433,-114036
526,CAPITOL FED FINL INC,16.4571092832,170200,14.6306818182,267520,14.2103415016,224977,14.7010948091,273381,97320,-42543
527,CAPSTEAD MTG CORP,10.188402251,204350,10.5396838798,284259,10.4331818011,266170,9.64905646107,528860,79909,-18089
528,CARA THERAPEUTICS INC,9.2968054594,30333,18.3517417162,11770,15.3947865508,84704,13.7078927957,32536,-18563,72934
529,CARBO CERAMICS INC,10.4564718961,57572,13.0381757787,124634,6.84918064959,101910,8.63416997296,163073,67062,-22724
530,CARBONITE INC,16.3986590147,87995,20.3031986666,62995,21.7639315489,11395,22.0096733873,18401,-25000,-51600
531,CARDINAL HEALTH INC,71.969953331,1344575,81.5501597444,1565000,77.9197310199,2357349,66.9202192921,2342446,220425,792349
532,CARDIOVASCULAR SYS INC DEL,24.2103798525,143740,28.2729964293,157394,32.2340499014,130297,28.1575056419,77102,13654,-27097
533,CARDTRONICS PLC,54.5713552708,296236,46.7492830517,211661,32.8591650616,86186,23.0107871512,517931,-84575,-125475
534,CARE COM INC,8.57645642308,53985,12.5168842864,44420,15.0963625774,151096,15.8907587958,144927,-9565,106676
535,CAREER EDUCATION CORP,10.0906365535,228826,8.69821912997,196477,9.60322772572,107568,10.3910705704,220574,-32349,-88909
536,CARETRUST REIT INC,15.3212208384,205793,16.8205900235,1381640,18.5337219326,97444,19.0402369098,201258,1175847,-1284196
537,CARLISLE COS INC,110.290551149,905073,106.410780017,761483,95.4009751267,464555,100.288595412,295916,-143590,-296928
538,CARLYLE GROUP L P,15.2497554567,1805406,15.9500458361,1533726,19.7499742668,1981876,23.5995949715,209368,-271680,448150
539,CARMAX INC,64.3901778678,2068390,59.2199950253,1748835,63.0595438629,2263004,75.8102181673,2754721,-319555,514169
540,CARNIVAL CORP,52.0599585395,3661797,58.9102374966,4077237,65.5700403333,3366446,64.5701649651,4975781,415440,-710791
541,CARNIVAL PLC,51.1907354802,431582,57.8903226718,778593,66.1200785955,1456063,64.4800763871,1824393,347011,677470
542,CARPENTER TECHNOLOGY CORP,36.1692759649,138543,37.3009606527,151980,37.4296388543,301125,48.0292809405,576211,13437,149145
543,CARRIZO OIL & GAS INC,37.3497526453,1370906,28.6599945976,1603001,17.4195718322,1269549,17.1300369275,2130118,232095,-333452
544,CARROLS RESTAURANT GROUP INC,15.2539802881,65950,14.1467436109,60650,12.2459007914,77332,10.895526939,98389,-5300,16682
545,CARTER INC,86.3891630828,746633,89.8013177178,546551,88.9485053306,287020,98.7496743944,345510,-200082,-259531
546,CARVER BANCORP INC,3.22593118382,181033,3.6623157104,181033,3.40269453636,181033,2.29239972823,181033,0,0
547,CASCADIAN THERAPEUTICS INC,4.329004329,20097,4.13787053193,205178,3.72652290569,20126,4.07224543191,47394,185081,-185052
548,CASELLA WASTE SYS INC,12.4111896579,112318,14.1158603185,96133,16.402369125,104680,18.8061572752,71785,-16185,8547
549,CASEYS GEN STORES INC,118.879771295,472225,112.250163884,358485,107.110730682,321275,109.450376992,293110,-113740,-37210
550,CASS INFORMATION SYS INC,73.5865254896,24461,66.0889284847,12347,65.6522964215,14196,63.4412797503,25630,-12114,1849
551,CASTLE BRANDS INC,0.76129774709,112965,1.55071688669,390787,1.72365273674,28428,1.33817625693,20924,277822,-362359
552,CATALENT INC,26.9602186523,2725423,28.3202935409,2884504,35.1005394918,2531642,39.9199695789,1427957,159081,-352862
553,CATALYST PHARMACEUTICALS INC,1.0470229647,42979,1.92988099067,18654,2.75832802886,18852,2.5237008427,45568,-24325,198
554,CATCHMARK TIMBER TR INC,11.2681624988,30351,11.5163365999,87962,11.3690194221,116105,12.6075500594,165853,57611,28143
555,CATERPILLAR INC DEL,92.7401169786,2871465,92.76009429,2974652,107.460225153,3320503,124.710017898,4346820,103187,345851
556,CATHAY GEN BANCORP,38.0289774138,386784,37.6792723791,261125,37.9517896559,308523,40.1993172718,345379,-125659,47398
557,CATO CORP NEW,30.0772997594,327556,21.9618661258,308125,17.5898095082,206938,13.2322833906,212964,-19431,-101187
558,CAVCO INDS INC DEL,99.8252087784,15447,116.390446783,15869,129.659908437,12232,147.544762929,13013,422,-3637
559,CAVIUM INC,62.440054955,1543080,71.6600507705,1051004,62.1294995316,1195680,65.9404473458,1448231,-492076,144676
560,CBIZ INC,13.7024019695,61741,13.5446607734,73756,14.9980479288,227963,16.2508930698,335920,12015,154207
561,CBL & ASSOC PPTYS INC,11.4999881289,2611394,9.53993435857,2275697,8.42992669124,2325643,8.38992227155,2484290,-335697,49946
562,CBOE HLDGS INC,73.8905047516,769111,81.0695998396,878048,91.3996369124,1371570,107.629729631,1254802,108937,493522
563,CBRE GROUP INC,31.489575156,1104429,34.7902679776,1979979,36.3999457907,4102616,37.8801194694,4431929,875550,2122637
564,CBS CORP NEW,63.6197225647,3061975,69.3614445492,1737954,63.7798158633,1805289,57.999699288,1908803,-1324021,67335
565,CDK GLOBAL INC,59.6896027927,1064507,65.0099947422,1641363,62.0603893481,1104102,63.0899683706,1297845,576856,-537261
566,CDN IMPERIAL BK COMM TORONTO,81.5998848615,889364,86.2098029947,1150832,81.1600276827,1813405,87.5204960415,937986,261468,662573
567,CDW CORP,52.08920305,560788,57.7110887356,660445,62.5304241273,834042,65.9998431093,879593,99657,173597
568,CECO ENVIRONMENTAL CORP,13.9531763601,44721,10.5148506556,71613,9.17694636212,167158,8.45654225495,108082,26892,95545
569,CEDAR FAIR L P,64.2006435314,393454,67.8105440595,434254,72.0999138461,486339,64.1197642332,695433,40800,52085
570,CEDAR REALTY TRUST INC,6.5325794609,203748,5.01919385797,312600,4.84949799417,501289,5.62015880103,206044,108852,188689
571,CELANESE CORP DEL,78.7401779307,2695206,89.850262974,1988219,94.9403304649,1719638,104.27002011,1615613,-706987,-268581
572,CELESTICA INC,11.849606697,484995,14.5301997328,979959,13.579777563,1136322,12.3801529848,1516621,494964,156363
573,CELGENE CORP,115.750245253,5442347,124.429902378,5848779,129.86994198,6151716,145.819924581,6092103,406432,302937
574,CELLDEX THERAPEUTICS INC NEW,3.53992488452,277972,3.6088080592,280425,2.46839806941,217550,2.85933486425,381907,2453,-62875
575,CEMEX SAB DE CV,8.02995240713,2044844,9.07018793802,1761485,9.41936486441,1351365,9.07975255253,1796745,-283359,-410120
576,CEMPRA INC,2.80038648609,61063,3.74708786106,122762,4.59440288883,62032,3.24999195547,62154,61699,-60730
577,CENOVUS ENERGY INC,15.129752543,1377815,11.300288887,1210854,7.37012920584,1564016,10.0195919553,1556251,-166961,353162
578,CENTENE CORP DEL,56.5096781391,1873449,71.2595816028,1662822,79.8798027889,2446313,96.7704154833,2834699,-210627,783491
579,CENTENNIAL RESOURCE DEV INC,13.65478541,48115,17.380276543,552753,15.8190551965,470066,17.9699395166,976631,504638,-82687
580,CENTERPOINT ENERGY INC,24.6400631201,6651444,27.5699120682,8158713,27.3801376635,7813109,29.2098578014,6754569,1507269,-345604
581,CENTRAIS ELETRICAS BRASILEIR,6.95533746505,4973878,5.59399456677,5498754,3.90795953273,5324006,6.2705802197,4868449,524876,-174748
582,CENTRAL EUROPEAN MEDIA ENTRP,2.57684520523,27165,3.09997416688,46452,4.01069518717,11220,4.04429151514,61321,19287,-35232
583,CENTRAL FD CDA LTD,11.2938497948,100143,12.8616079007,100143,12.3323647185,100143,12.6718792127,100143,0,0
584,CENTRAL GARDEN & PET CO,31.138702698,254667,34.8592808097,324476,30.1307757185,318943,37.2946214353,362197,69809,-5533
585,CENTRAL PAC FINL CORP,31.4209561256,264505,30.535918434,214305,31.4720121157,235066,32.1803127283,310749,-50200,20761
586,CENTURY ALUM CO,8.56133552777,394331,12.6900208444,910558,15.5803720959,1313640,16.5804219086,1129344,516227,403082
587,CENTURY CASINOS INC,8.24901720693,15517,7.54046395466,20821,7.38258844909,35218,8.21215268761,61616,5304,14397
588,CENTURYLINK INC,23.779794464,4177370,23.5700804163,5345930,23.8798946727,11364958,18.8999938739,12536512,1168560,6019028
589,CERNER CORP,47.3698080873,3923554,58.8500729434,4013385,66.4700714542,3267967,71.3200698893,5328430,89831,-745418
590,CERUS CORP,4.35151772447,113064,4.45093327656,98631,2.50715996056,106495,2.72860503683,103716,-14433,7864
591,CEVA INC,33.5558844834,63506,35.5009470157,102955,45.4535502376,45673,42.8002556413,101705,39449,-57282
592,CF INDS HLDGS INC,31.4797138946,3693045,29.3501497129,4763451,27.9600194248,5185118,35.1602400215,5782981,1070406,421667
593,CHANGYOU COM LTD,21.2125887072,38892,28.0316042597,29110,38.7564909385,29079,39.6245148479,22158,-9782,-31
594,CHANNELADVISOR CORP,14.3725361367,12176,11.1519681717,33178,11.5621722559,39093,11.5280289331,30968,21002,5915
595,CHARLES & COLVARD LTD,1.09416672365,14623,0.96239774524,14547,0.891632373114,14580,0.886244223587,15797,-76,33
596,CHARLES RIV LABS INTL INC,76.1886573521,691179,89.9490934809,678695,101.149514542,746924,108.01973444,1021767,-12484,68229
597,CHART INDS INC,36.0158522465,212462,34.938939749,177939,34.7325312061,173123,39.2310563643,187530,-34523,-4816
598,CHARTER COMMUNICATIONS INC N,287.919659941,1316006,327.319777002,1184047,336.849721036,1078095,363.419322173,1269971,-131959,-105952
599,CHARTER FINL CORP MD,16.6930450623,33487,19.6725139371,34261,17.9946735766,41679,18.5250219491,34170,774,7418
600,CHASE CORP,83.5726755646,17757,95.3928612156,17538,106.700689916,31743,111.405663197,76953,-219,14205
601,CHATHAM LODGING TR,20.5515173246,61358,19.7455265474,109088,20.0895736956,217028,21.3121354109,116741,47730,107940
602,CHECK POINT SOFTWARE TECH LT,84.459657711,2113068,102.660841579,1107394,109.079654943,967724,114.019795514,912631,-1005674,-139670
603,CHEESECAKE FACTORY INC,59.8790559097,622271,63.3607037808,557901,50.2993025739,704304,42.1206388314,1136450,-64370,146403
604,CHEETAH MOBILE INC,9.51862931738,11031,10.7287083358,16591,10.781013708,20499,8.40278726602,29276,5560,3908
605,CHEGG INC,7.38182256316,124495,8.44068224399,412052,12.2901743738,598771,14.8383593434,565359,287557,186719
606,CHEMED CORP NEW,160.407271702,28384,182.647853497,16655,204.563675609,16215,202.034883721,42656,-11729,-440
607,CHEMICAL FINL CORP,54.1683076583,352937,51.1505804176,195032,48.4158087014,150550,52.2608609989,223322,-157905,-44482
608,CHEMOCENTRYX INC,7.40436034554,58344,7.27625821259,79299,9.36171372506,73384,7.42152059517,220440,20955,-5915
609,CHEMOURS CO,22.0901069648,948162,38.4992356753,915187,37.9204210332,1800903,50.6103240883,1857210,-32975,885716
610,CHENIERE ENERGY INC,41.430141721,5903359,47.2700143837,6478166,48.7098962415,5921733,45.0399550889,6672742,574807,-556433
611,CHENIERE ENERGY PARTNERS LP,28.820196746,1114635,32.3097678044,1044421,32.3999433639,1899849,28.8200341178,1310165,-70214,855428
612,CHENIERE ENERGY PTNRS LP HLD,22.3716381418,16360,24.4060943028,13849,26.9110764431,15384,25.0922728896,33596,-2511,1535
613,CHERRY HILL MTG INVT CORP,18.1801055011,42464,17.0950037254,95291,18.471980082,171503,18.096345347,178047,52827,76212
614,CHESAPEAKE ENERGY CORP,7.02012234194,7600010,5.94007997202,7730704,4.97005610455,5883837,4.30005724228,6462007,130694,-1846867
615,CHESAPEAKE LODGING TR,25.8599798317,8756310,23.9600412898,8732414,24.4700157734,8640493,26.9699841094,8576757,-23896,-91921
616,CHEVRON CORP NEW,117.699983014,7041148,107.370025867,7758236,104.330136091,8766930,117.500083379,11453694,717088,1008694
617,CHICAGO BRIDGE & IRON CO N V,31.7500077205,582866,30.7494069052,830390,19.7303268689,1236979,16.7995815116,982584,247524,406589
618,CHICOS FAS INC,14.3900395237,1415354,14.1999328955,1555782,9.42022484986,2062265,8.95013866093,2650350,140428,506483
619,CHILDRENS PL INC,100.950536877,193154,120.051085568,344520,102.100879456,633687,118.151450887,621482,151366,289167
620,CHIMERA INVT CORP,17.0203433141,1960595,20.180048434,1687657,18.6298877249,1516810,18.9199088444,1599902,-272938,-170847
621,CHINA LIFE INS CO LTD,12.8692528954,657070,15.330509572,532859,15.3408318278,514770,15.0500885465,531359,-124211,-18089
622,CHINA LODGING GROUP LTD,51.8389483958,161886,62.0532570892,187468,80.6797727446,341114,118.821237003,323831,25582,153646
623,CHINA MOBILE LIMITED,52.4290847337,416906,55.2302062842,486998,53.0904777088,426536,50.5689492659,411636,70092,-60462
624,CHINA PETE & CHEM CORP,71.0179373108,98454,81.5115992537,113628,78.6018864453,124997,75.7595193808,93546,15174,11369
625,CHINA UNICOM (HONG KONG) LTD,11.5595982566,15831,13.4739632227,18109,14.9495210976,15452,14.0310614754,88019,2278,-2657
626,CHIPOTLE MEXICAN GRILL INC,377.32168591,696692,445.521500892,873987,416.096935452,145829,307.828673816,262867,177295,-728158
627,CHOICE HOTELS INTL INC,56.0526802684,118906,62.6017481904,159708,64.2512051448,186907,63.8951433726,134126,40802,27199
628,CHRISTOPHER & BANKS CORP,2.34165345601,96513,1.47584574867,78599,1.30476179281,85073,1.36932707355,10224,-17914,6474
629,CHUBB LIMITED,132.119703287,1080505,136.249696267,1275790,145.379849457,1817549,142.550362512,2002829,195285,541759
630,CHUNGHWA TELECOM CO LTD,31.5461308146,129588,33.9746081099,123504,35.2252237618,123122,34.115808605,117746,-6084,-382
631,CHURCH & DWIGHT INC,44.1902502456,2050226,49.8698524275,1853665,51.8801243356,2223337,48.4497452601,1881723,-196561,369672
632,CHURCHILL DOWNS INC,150.455731953,23369,158.836787908,22627,183.307915433,33441,206.192692255,21703,-742,10814
633,CHUYS HLDGS INC,32.4584964888,30901,29.8035943135,33553,23.4122712594,29728,21.0541741976,61413,2652,-3825
634,CIENA CORP,24.4102154266,1221251,23.6099795854,1167303,25.0197105329,1125033,21.9695549698,1253735,-53948,-42270
635,CIGNA CORPORATION,133.389560612,1397898,146.490026838,1600696,167.390124502,1842540,186.939961759,1961250,202798,241844
636,CIMAREX ENERGY CO,135.898912325,817983,119.491421871,466477,94.0098196452,406532,113.669488567,458320,-351506,-59945
637,CIMPRESS N V,91.6162673904,46793,86.178748343,71665,94.5289230287,44653,97.677524362,47923,24872,-27012
638,CINCINNATI BELL INC NEW,22.3466275759,237396,17.6986828887,143344,19.550209648,118055,19.8489279013,187063,-94052,-25289
639,CINCINNATI FINL CORP,75.7495104427,830342,72.2703931914,693479,72.4497145106,673405,76.5696675186,984476,-136863,-20074
640,CINEMARK HOLDINGS INC,38.3602700071,1046343,44.3402596112,1026381,38.8494574809,860707,36.2099073966,1259241,-19962,-165674
641,CINTAS CORP,115.560251363,1375222,126.540669902,1268604,126.039569594,1224425,144.279799682,942703,-106618,-44179
642,CIRCOR INTL INC,64.8904528507,23871,59.4396522293,659055,59.3803900318,605284,54.4301995604,765733,635184,-53771
643,CIRRUS LOGIC INC,56.5397663023,570395,60.6889941362,886800,62.7199832215,1335045,53.3199423798,1364105,316405,448245
644,CISCO SYS INC,30.2200354493,30967601,33.7999748163,31409195,31.3000318556,37371815,33.6300150347,39635070,441594,5962620
645,CIT GROUP INC,42.679947844,4277934,42.929760938,3857953,48.6998341498,2352123,49.0500107593,1909969,-419981,-1505830
646,CITIGROUP INC,59.3439103653,12421443,59.748536939,15051833,66.7890750357,14354683,72.6212393982,14211655,2630390,-697150
647,CITIZENS FINL GROUP INC,35.629973193,8801438,34.5499848432,7059540,35.6800742484,7848246,37.8700652401,11451393,-1741898,788706
648,CITRIX SYS INC,89.3100272592,3141327,83.3901995449,3780804,79.5798754015,3497153,76.8197900256,3845897,639477,-283651
649,CITY HLDG CO,67.6006870067,51819,64.4883920894,36053,65.8747811273,21131,71.9130375208,43789,-15766,-14922
650,CIVEO CORP CDA,2.20084375838,164028,2.99202596853,141710,2.09959540643,195752,2.85139307002,182367,-22318,54042
651,CIVITAS SOLUTIONS INC,19.9099026627,49724,18.3364497256,16579,17.5167182354,20038,18.4283395398,10473,-33145,3459
652,CLAYMORE EXCHANGE TRD FD TR,19.5843688593,957243,15.5374954909,612647,26.7894331621,316916,34.8646985547,199887,-344596,-295731
653,CLEAN ENERGY FUELS CORP,2.85980989548,521713,2.54977491642,966752,2.540297494,1160494,2.48058822703,1068295,445039,193742
