,Company,0216price,0216amt,0516price,0516amt,0816price,0816amt,1116price,1116amt,0216-0516chng,0516-0816chng
1530,IROBOT CORP,35.3995980832,12938,35.3389258509,20742,35.0625816511,23729,43.9816908169,287506,7804,2987
1531,IRON MTN INC NEW,27.0101264775,700441,33.9097392406,871608,39.8299021576,2929608,37.5299391213,3418604,171167,2058000
1532,IRONWOOD PHARMACEUTICALS INC,11.5939967281,112472,10.9421150551,190274,13.075035558,368412,15.8796640752,1356137,77802,178138
1533,IRSA INVERSIONES Y REP S A,12.3003935183,127313,14.9631223834,127313,16.8083067595,127318,18.9918157684,127318,0,5
1534,ISHARES,34.2754340782,1173406,34.2026513152,1402172,33.3892286996,898703,34.3290841882,1001221,228766,-503469
1535,ISHARES INC,21.9486544801,35208992,21.0247148302,36778525,22.9216146573,37729541,26.6907215716,44625133,1569533,951016
1536,ISHARES SILVER TRUST,13.1888333676,384037,14.6801627384,753602,17.8652610185,673094,18.2001774945,572412,369565,-80508
1537,ISHARES TR,67.1763463379,230475872,66.8256808663,226351274,70.1121434117,227454735,73.6288053688,188896342,-4124598,1103461
1538,ISLE OF CAPRI CASINOS INC,13.9340417617,123654,13.9962232413,126034,18.3162375943,114161,22.2815117771,187779,2380,-11873
1539,ISRAEL CHEMICALS LTD,4.0499756134,7331896,4.29006296675,6996867,3.90005107677,6883756,3.89997025483,6979284,-335029,-113111
1540,ISTAR INC,11.7302352717,2248804,9.65998157102,5447940,9.58992553883,5278456,10.7300509202,5001747,3199136,-169484
1541,ITAU UNIBANCO HLDG SA,6.50999325575,20776212,8.58989615588,3002481,9.44023699449,2139459,10.9397019589,3308134,-17773731,-863022
1542,ITC HLDGS CORP,39.2495391137,1196065,43.5704773194,956634,46.8197929692,531805,46.4794136937,1102359,-239431,-424829
1543,ITRON INC,36.1784491126,179278,41.7204885898,220635,43.0967501321,193054,55.7607187811,264559,41357,-27581
1544,IXIA,12.4253474216,139312,12.4623432357,164977,9.81983722829,2592711,12.4999901189,2530082,25665,2427734
1545,IXYS CORP,12.6614547927,11768,11.225650244,54518,10.2529049897,32186,12.0481927711,11786,42750,-22332
1546,J & J SNACK FOODS CORP,116.669600986,312395,108.280521511,143276,119.25522848,15253,119.14238028,15578,-169119,-128023
1547,J ALEXANDERS HLDGS INC,10.9253277598,42104,10.5346326047,18985,9.906515976,14334,10.16002032,15748,-23119,-4651
1548,J2 GLOBAL INC,82.3080833757,39340,61.5801520597,548732,63.1693003251,545439,66.6110861286,502574,509392,-3293
1549,JA SOLAR HOLDINGS CO LTD,9.69114855927,34774,8.61680558684,71024,6.84948025951,124389,6.0165673594,103215,36250,53365
1550,JABIL CIRCUIT INC,23.2899501412,2028128,19.2701035905,2452348,18.4701472147,2378974,21.8200941374,3177484,424220,-73374
1551,JACK IN THE BOX INC,76.7103280136,1589812,63.8695458708,1813603,85.9204075982,1473608,95.9395298048,1365433,223791,-339995
1552,JACOBS ENGR GROUP INC DEL,41.9498372922,722768,43.5493536744,737554,49.8101849588,1206701,51.719958271,1468524,14786,469147
1553,JAMBA INC,13.4870894961,159560,12.3603094683,162860,10.2881957769,205867,10.9199609566,163920,3300,43007
1554,JAMES HARDIE INDS PLC,12.6753246753,28875,13.6388067724,29768,15.3297682709,30855,15.7382418049,32977,893,1087
1555,JANUS CAP GROUP INC,14.0893789324,442319,14.6311070969,239148,13.9184323692,217194,14.0096844513,491303,-203171,-21954
1556,JASON INDS INC,3.78552259761,56267,3.49072543959,53857,3.60904159895,47381,2.21075902727,37996,-2410,-6476
1557,JAZZ PHARMACEUTICALS PLC,140.563014292,173175,130.546391246,223997,141.310150105,595718,121.480393605,704056,50822,371721
1558,JD COM INC,32.2649052265,6639567,26.4998211352,4634786,21.2300353111,3829386,26.0899334622,3861566,-2004781,-805400
1559,JETBLUE AIRWAYS CORP,22.6501330718,1629571,21.1200866938,3816651,16.5598858661,4701844,17.2401156423,10232936,2187080,885193
1560,JETPAY CORP,2.74097761535,17512,2.33085935104,16303,2.25928633132,15049,2.66265339199,17276,-1209,-1254
1561,JINKOSOLAR HLDG CO LTD,27.6619665527,42694,20.9002498216,44832,20.3830296107,56027,15.8415841584,7575,2138,11195
1562,JIVE SOFTWARE INC,4.05970149254,16750,3.79175187457,23472,3.76899696049,32900,4.26596057664,33990,6722,9428
1563,JMP GROUP LLC,5.45338297792,26589,5.22915101427,33275,5.43427630966,32203,5.52743533211,32203,6686,-1072
1564,JOHN BEAN TECHNOLOGIES CORP,49.8276522405,104440,56.412431557,25934,61.2036505201,31338,70.5503238119,383556,-78506,5404
1565,JOHNSON & JOHNSON,102.719938114,13899103,108.199919448,10740886,121.299966438,11119764,118.129940949,9868929,-3158217,378878
1566,JONES ENERGY INC,3.86156861598,34183,3.323409264,28886,4.11698450305,25747,3.56023491465,164315,-5297,-3139
1567,JONES LANG LASALLE INC,159.860290167,349868,117.319565999,400368,97.4524675869,419661,113.790498066,330880,50500,19293
1568,JOY GLOBAL INC,12.6100298131,1879377,16.0707291406,423814,21.1399457001,567220,27.7395445412,552893,-1455563,143406
1569,JP ENERGY PARTNERS LP,4.92000770054,1511583,5.36937471727,559283,8.43988593506,347872,7.39927329592,347872,-952300,-211411
1570,JPMORGAN CHASE & CO,63.0163359931,22708445,57.9222247757,19667960,60.6806990702,17584158,63.0148948674,16948120,-3040485,-2083802
1571,JUMEI INTL HLDG LTD,9.05286278235,67382,6.51149278477,199647,4.13114048811,409088,5.84868694083,103613,132265,209441
1572,JUNIPER NETWORKS INC,27.5999006101,4527625,25.5100835771,3556476,22.4903130466,2617438,24.0601611472,3350601,-971149,-939038
1573,JUNO THERAPEUTICS INC,43.9710668645,334288,38.0910104082,105878,38.4416339056,330423,30.0097082743,314165,-228410,224545
1574,JUST ENERGY GROUP INC,7.11909750583,422385,5.94149701224,440798,6.07954505132,422729,5.07063029471,97621,18413,-18069
1575,K12 INC,8.79672553764,265326,9.88935740801,277470,12.4877201437,377651,14.3515108345,370623,12144,100181
1576,KADANT INC,40.6287069988,23604,45.1680081049,35534,51.5147205234,35155,52.1069922128,98624,11930,-379
1577,KAISER ALUMINUM CORP,83.660987007,674747,84.5394851856,715015,90.4106046894,657445,86.4898559292,527796,40268,-57570
1578,KAMAN CORP,40.8103281306,1384723,42.6902529083,1136934,42.5198443238,1136975,43.9194540131,1130137,-247789,41
1579,KANDI TECHNOLOGIES GROUP INC,10.9483423285,6485,7.20678832965,8603,7.16680912618,15209,5.49592990097,19287,2118,6606
1580,KANSAS CITY SOUTHERN,74.6699331737,4317762,85.4500592329,3924339,90.0900664074,2282427,93.3199680502,2018164,-393423,-1641912
1581,KAPSTONE PAPER & PACKAGING C,22.5896851428,879605,13.8493337744,402041,13.0106933225,412968,18.9183493191,223011,-477564,10927
1582,KAR AUCTION SVCS INC,37.029975987,1153957,38.1407304977,974103,41.7409267259,1008842,43.1608377133,753623,-179854,34739
1583,KATE SPADE & CO,17.7699972282,16321612,25.5200441201,14007225,20.6099058043,8325220,17.1300673184,7912987,-2314387,-5682005
1584,KB FINANCIAL GROUP INC,27.8754420076,99263,27.5847441768,80153,28.4588992257,238414,34.2085479605,179575,-19110,158261
1585,KB HOME,12.3292624797,608390,14.2801311179,726674,15.2103072752,1023122,16.1204303971,1901314,118284,296448
1586,KBR INC,16.9200242076,948462,15.4800122809,1341924,13.2396400384,704853,15.1313286559,659757,393462,-637071
1587,KCAP FINL INC,4.04518394138,13102,3.5959569781,30868,3.90193624383,27166,4.63629096723,25020,17766,-3702
1588,KCG HLDGS INC,12.3084449608,359753,11.949200473,388980,13.2997119822,432265,15.5292572276,411095,29227,43285
1589,KEARNY FINL CORP MD,12.670760747,79790,12.354088615,64594,12.5780476447,221179,13.6127724779,101155,-15196,156585
1590,KELLOGG CO,72.2695902841,1149626,76.5502008342,1556508,81.6507247349,1595687,77.4691052892,1112650,406882,39179
1591,KEMET CORP,2.3664785063,46060,1.94165989343,22146,2.92721869872,67641,3.57170808757,140549,-23914,45495
1592,KEMPER CORP DEL,37.2502408253,128724,29.5695821003,164561,30.9768875193,162250,39.3217893218,182952,35837,-2311
1593,KEMPHARM INC,19.8531411477,62509,14.4951197043,85753,4.00686891815,15723,4.49713818479,19568,23244,-70030
1594,KENNAMETAL INC,19.1984795547,139959,22.4882567345,516892,22.1109173352,358375,29.0188548064,483272,376933,-158517
1595,KENNEDY-WILSON HLDGS INC,24.0800870747,2735123,21.8999480777,3035304,18.9598004539,3489119,22.5499580779,3501736,300181,453815
1596,KERYX BIOPHARMACEUTICALS INC,5.05483594349,66471,4.66828003952,69833,6.61938753295,431762,5.3094483606,618520,3362,361929
1597,KEY TRONICS CORP,7.58240057771,19387,7.1475843812,15110,7.50597065848,20517,7.45509996611,20657,-4277,5407
1598,KEYCORP NEW,13.2220067263,10732864,11.0399695215,9197308,11.0499879998,9262363,12.1700341729,7559798,-1535556,65055
1599,KEYSIGHT TECHNOLOGIES INC,28.3301729307,863814,27.7402413931,390732,29.0882910977,502814,31.691174175,320310,-473082,112082
1600,KEYW HLDG CORP,6.03162031255,32827,6.63524937044,95701,9.92850466109,39583,11.0295668312,47418,62874,-56118
1601,KILROY RLTY CORP,63.2805940813,460947,61.8706742276,371032,66.2906583538,560094,69.3498198347,561429,-89915,189062
1602,KIMBALL ELECTRONICS INC,10.989010989,108654,11.1673927878,152408,12.4456358215,182795,13.8632779795,194687,43754,30387
1603,KIMBALL INTL INC,9.7694161814,187524,11.3521758337,239954,11.3798348752,209054,12.9401261638,203862,52430,-30900
1604,KIMBERLY CLARK CORP,127.299889272,2547677,134.509945778,2112052,137.479715913,2236359,126.139830638,3271100,-435625,124307
1605,KIMCO RLTY CORP,26.4599230038,5303379,28.7799816517,6156432,31.3801533517,6934128,28.9498765023,7172604,853053,777696
1606,KINDER MORGAN INC DEL,16.328517587,6610398,18.4613872099,14931814,18.5620738792,12653543,22.9767962585,17008507,8321416,-2278271
1607,KINDRED BIOSCIENCES INC,3.39551791635,25033,3.46654978683,25097,3.52460172001,28372,4.98879634719,23653,64,3275
1608,KINDRED HEALTHCARE INC,11.9041738701,40490,12.3501048833,750358,11.2902775061,751443,10.2206841435,663165,709868,1085
1609,KINROSS GOLD CORP,1.82037661867,3517404,3.4000026395,3637056,4.89009335936,6890257,4.20986473507,4012718,119652,3253201
1610,KIRBY CORP,52.6203471165,1213656,60.2932528516,205761,62.3885833039,209798,62.1586188653,344007,-1007895,4037
1611,KITE PHARMA INC,61.6111537835,42963,45.8979403712,72683,49.9976225572,42062,55.8648157637,85868,29720,-30621
1612,KITE RLTY GROUP TR,25.931328945,421575,27.7094591957,358614,28.0300357529,359971,27.7201054935,338599,-62961,1357
1613,KKR & CO L P DEL,15.5900259776,1736110,14.6901331443,2438031,12.3401789511,2269335,14.2599192642,2622876,701921,-168696
1614,KLA-TENCOR CORP,69.3489334277,724611,72.8099319565,1862191,73.249629299,2674662,69.7099450288,2389616,1137580,812471
1615,KLONDEX MNS LTD,2.07448384866,30369,2.67873637539,21652,3.64172994073,42013,5.74989548201,1066802,-8717,20361
1616,KLX INC,30.7807135393,33495,32.1573820108,31719,31.0003687799,656218,35.1985865629,589768,-1776,624499
1617,KNIGHT TRANSN INC,24.2453216774,14642,26.1504351506,217396,26.5795659684,384995,28.6882195184,470193,202754,167599
1618,KNOLL INC,18.7974695017,55167,21.6541373112,152442,24.2800873753,230271,22.8516465659,227686,97275,77829
1619,KNOT OFFSHORE PARTNERS LP,13.4899366092,1766502,16.4000884499,1736576,18.5598105765,1680890,20.889765145,1655021,-29926,-55686
1620,KNOWLES CORP,13.3322563228,235219,13.1764251953,155505,13.6783207411,119386,14.0518007148,142971,-79714,-36119
1621,KOHLS CORP,47.6300423165,1269010,46.610515644,954806,37.9194223362,1465766,43.7505476455,1620574,-314204,510960
1622,KONINKLIJKE PHILIPS N V,25.4503567459,322078,28.5518188058,313255,24.9387501371,273470,29.5877546292,293466,-8823,-39785
1623,KOPPERS HOLDINGS INC,18.2514646237,71008,22.464316609,36992,30.7265003812,91810,32.1693659901,62917,-34016,54818
1624,KOREA ELECTRIC PWR,21.1614413184,20509,25.7534933266,47877,25.9289375348,109453,24.3753480268,167013,27368,61576
1625,KORN FERRY INTL,33.1817335248,332894,28.2905544724,267227,20.6987970596,141071,21.0002716284,58904,-65667,-126156
1626,KORNIT DIGITAL LTD,10.8001814085,1411180,9.94977046498,1383449,9.75978738339,1413248,9.38019160237,1405515,-27731,29799
1627,KOSMOS ENERGY LTD,5.20020860044,878234,5.82009175427,1053248,5.45040557848,421620,6.40978163573,1417677,175014,-631628
1628,KRAFT HEINZ CO,72.760123351,5579526,78.5601602048,3734221,88.4803467065,3257164,89.5100369405,3492100,-1845305,-477057
1629,KROGER CO,41.829797147,3060689,38.2501763634,3481448,36.7901197232,3108253,29.6801328519,2651976,420759,-373195
1630,KRONOS WORLDWIDE INC,5.63830850745,50015,5.72353910154,107451,5.23947989247,36454,8.28062978368,52653,57436,-70997
1631,KT CORP,11.9059899594,116328,13.4185564127,171628,14.2583584853,188521,16.049234575,433354,55300,16893
1632,KULICKE & SOFFA INDS INC,11.6689186312,258293,11.3203078745,253350,12.1698593953,331639,12.931748944,349914,-4943,78289
1633,KYOCERA CORP,46.1079199796,70682,44.1561662095,64521,47.6611315255,64497,48.1220657277,62196,-6161,-24
1634,L BRANDS INC,95.8202301932,2495903,87.8100647367,3126202,67.1297705201,1002223,70.7695675173,1096460,630299,-2123979
1635,L-3 COMMUNICATIONS HLDGS INC,119.510614525,447500,118.49953579,1235431,146.689449608,1174563,150.730299528,1657676,787931,-60868
1636,LA QUINTA HLDGS INC,13.6090948897,625758,12.500147648,931269,11.3994337822,639330,11.1800599164,598834,305511,-291939
1637,LA Z BOY INC,24.416466702,64178,26.7421197012,57961,27.8192965866,65566,24.5603022117,178418,-6217,7605
1638,LABORATORY CORP AMER HLDGS,123.640372375,2850137,117.129797785,2648566,130.270235661,2436466,137.480173744,1856755,-201571,-212100
1639,LADENBURG THALMAN FIN SVCS I,2.7566309114,70013,2.5016277715,87543,2.36518448439,73990,2.31367874921,71315,17530,-13553
1640,LAKELAND FINL CORP,46.6189907735,448165,45.779326917,471086,47.010629159,467958,35.4194738519,699841,22921,-3128
1641,LAM RESEARCH CORP,79.4198556806,1674342,82.6001705623,2586738,84.0596808568,2268198,94.7100260919,3891626,912396,-318540
1642,LAMAR ADVERTISING CO NEW,59.9800310196,4473939,61.5001240629,3933488,66.2999460866,3772718,65.3098692459,3305136,-540451,-160770
1643,LANCASTER COLONY CORP,115.455420027,84197,110.571740585,141935,127.607660382,127461,132.09140324,151592,57738,-14474
1644,LANDEC CORP,11.8308766486,20624,10.4815276048,19272,10.7729051273,19679,13.402539172,41037,-1352,407
1645,LANDS END INC NEW,23.440160752,117448,25.5044308545,78653,16.433755173,33346,14.4875045273,33132,-38795,-45307
1646,LANDSTAR SYS INC,58.6470777837,192354,64.6070696453,248301,68.6596035619,179902,68.0803092777,163219,55947,-68399
1647,LANTRONIX INC,1.14361604014,27107,0.959020323854,27111,0.977517106549,23529,1.40717203813,22030,4,-3582
1648,LAREDO PETROLEUM INC,7.98868347522,429107,7.92998120301,1021440,10.4797247982,745344,12.900032579,957672,592333,-276096
1649,LAS VEGAS SANDS CORP,43.8395531005,1091252,51.6802789786,1354656,43.489689774,1316266,57.539975741,1657943,263404,-38390
1650,LASALLE HOTEL PPTYS,25.1602016834,2688174,25.3098480776,3727956,23.57997391,4556536,23.8700944157,4585361,1039782,828580
1651,LATAM AIRLS GROUP S A,5.38876435291,408628,7.00081642174,342960,6.60008480992,384389,8.12073524547,420159,-65668,41429
1652,LATTICE SEMICONDUCTOR CORP,6.46859188502,112853,5.6794733222,101770,5.34701883548,111651,6.48813679596,698968,-11083,9881
1653,LAUDER ESTEE COS INC,88.0598169785,2649415,94.3099071724,2320753,91.0200303595,2049439,88.5598797778,1951719,-328662,-271314
1654,LAZARD LTD,45.0111195583,562972,38.7992412235,1192446,29.7793237322,547091,36.3603905915,857059,629474,-645355
1655,LEAR CORP,122.829479319,983347,111.169511961,1430725,101.759634359,1551686,121.220317705,2236729,447378,120961
1656,LEE ENTERPRISES INC,1.68019595538,148197,1.79789717946,208577,1.91205237125,294971,3.74837203765,277187,60380,86394
1657,LEGACY RESVS LP,1.73482032218,24210,0.961823024563,27032,1.5908597874,13829,1.35593220339,13275,2822,-13203
1658,LEGACY TEX FINL GROUP INC,25.0200540449,2326214,19.6500560342,2270935,26.9100337856,2212186,31.6300040371,2209516,-55279,-58749
1659,LEGG MASON INC,39.2299220869,1020624,34.6795795061,1217806,29.4895483182,1347630,33.4796854234,1595923,197182,129824
1660,LEGGETT & PLATT INC,42.0196920037,1494109,48.4009189272,635959,51.1080379128,444705,45.5797168958,729908,-858150,-191254
1661,LEIDOS HLDGS INC,56.2613495778,276442,50.3196192098,312403,47.8696753168,221539,43.2800511056,3387496,35961,-90864
1662,LENDINGCLUB CORP,11.0491247883,221375,8.2992808672,434134,4.30005906675,465575,6.17974384134,1340185,212759,31441
1663,LENDINGTREE INC NEW,89.3280632411,5060,97.7864266602,8222,88.286905023,9118,96.8660968661,4914,3162,896
1664,LENNAR CORP,48.8590682743,1398287,48.3089660657,1408310,45.9779913879,1149550,42.2518803506,1004334,10023,-258760
1665,LENNOX INTL INC,124.900079936,265212,135.19119535,346635,142.5985821,399464,157.028090954,411022,81423,52829
1666,LEUCADIA NATL CORP,17.3894379923,1383771,16.1697146584,1031991,17.3291503541,995144,19.0399199395,1486876,-351780,-36847
1667,LEVEL 3 COMMUNICATIONS INC,54.3598190184,3841937,52.8500437469,3511104,51.4899350707,4570971,46.3799946834,8524214,-330833,1059867
1668,LEXICON PHARMACEUTICALS INC,13.309506028,112476,11.9519155008,187836,14.3476689555,83010,18.0739010922,123327,75360,-104826
1669,LEXINGTON REALTY TRUST,7.99888607368,402181,8.60049846357,399628,10.1104494905,526485,10.2998997764,648550,-2553,126857
1670,LG DISPLAY CO LTD,10.4836316883,10111,11.4458845312,11882,11.5895858508,36412,12.7176744824,58344,1771,24530
1671,LGI HOMES INC,24.3755279353,8287,24.2080431364,17804,31.9595578785,11671,36.8569234707,7814,9517,-6133
1672,LHC GROUP INC,45.3201535678,22661,35.5918174293,16914,43.2660791026,13729,36.8816989548,90126,-5747,-3185
1673,LIBBEY INC,21.309255079,11075,18.6182388977,45869,15.8806544755,56106,17.8580526825,39254,34794,10237
1674,LIBERTY ALL STAR EQUITY FD,5.36211699164,14360,4.95359265825,19178,5.02037061375,38045,5.17504862462,28792,4818,18867
1675,LIBERTY BROADBAND CORP,51.8373030511,601806,57.9588627217,709624,59.971433565,829645,71.3120166669,996466,107818,120021
1676,LIBERTY GLOBAL PLC,41.1070254651,12801729,37.6943790594,13106543,29.2605791869,15114465,31.6984169585,18756678,304814,2007922
1677,LIBERTY INTERACTIVE CORP,32.0239626299,2041846,31.5165685964,2657618,27.6991376054,5244351,26.7487635303,3388680,615772,2586733
1678,LIBERTY MEDIA CORP DELAWARE,38.1696843991,3078857,38.1789252595,3660344,28.5324440665,3763400,31.9918311857,2724508,581487,103056
1679,LIBERTY PPTY TR,31.0497668685,4821099,33.4602069832,5058576,39.7199638663,5756400,40.3500228958,6199823,237477,697824
1680,LIBERTY TRIPADVISOR HLDGS IN,30.3398650014,574228,22.1610439211,628400,21.8789060547,800040,21.8501502883,1349739,54172,171640
1681,LIFELOCK INC,14.3547273982,65205,12.0760078139,90096,15.8138574803,87202,16.920649148,685021,24891,-2894
1682,LIFEPOINT HEALTH INC,73.3947744624,131508,69.2487387858,241434,65.3695684515,248709,59.2268333556,156939,109926,7275
1683,LIGAND PHARMACEUTICALS INC,108.471189075,9007,107.090842891,21972,119.2681274,30989,102.062585676,220306,12965,9017
1684,LILLY ELI & CO,84.2600322981,3663991,72.0101097155,2961112,78.7501033486,6930429,80.260052187,6072012,-702879,3969317
1685,LIMELIGHT NETWORKS INC,1.45999575911,30804884,1.81000519268,30804884,1.49001571839,30944640,1.87001690761,30944640,0,139756
1686,LINCOLN EDL SVCS CORP,1.99760287655,35042,2.46937031057,10529,1.50096123202,97271,2.20054280056,54532,-24513,86742
1687,LINCOLN ELEC HLDGS INC,51.8893416256,233150,58.5697654491,169217,59.0817144384,157206,62.6190556975,206311,-63933,-12011
1688,LINCOLN NATL CORP IND,50.2601046698,9428512,39.1999578285,7170722,38.7702023037,4302789,46.980059835,6017553,-2257790,-2867933
1689,LINEAR TECHNOLOGY CORP,42.4700675272,1552411,44.5594671922,1261393,46.5297227151,1091152,59.2901284321,4894491,-291018,-170241
1690,LINKEDIN CORP,225.080403095,2051227,114.350110917,1097218,189.24961982,1262560,191.120223566,986196,-954009,165342
1691,LION BIOTECHNOLOGIES INC,7.71982677462,21244,5.07206642645,51064,8.10091963157,279351,8.22757111597,68550,29820,228287
1692,LIONBRIDGE TECHNOLOGIES INC,4.92574072692,26798,5.06231157399,62027,3.95594874367,87716,4.99634313701,121689,35229,25689
1693,LIONS GATE ENTMNT CORP,32.3899438087,563076,21.8511937226,284195,20.2308482968,940791,19.9906293925,192090,-278881,656596
1694,LIQTECH INTL INC,1.01233204491,21732,0.705794947994,26920,0.6075768406,27980,0.817196660153,28145,5188,1060
1695,LIQUIDITY SERVICES INC,6.50635072042,99595,5.17511850766,117292,7.84241946384,213072,11.2419670985,183153,17697,95780
1696,LITHIA MTRS INC,106.670470349,701075,87.3299349377,717005,71.0691218086,768238,95.5211932903,579641,15930,51233
1697,LITTELFUSE INC,107.009284687,305880,123.109503069,233272,118.18948343,241942,128.807953718,197744,-72608,8670
1698,LIVANOVA PLC,59.3704277946,549516,53.9794617465,571032,50.2304917392,424961,60.1089957816,371941,21516,-146071
1699,LIVE NATION ENTERTAINMENT IN,24.5700157551,3902236,22.3100752737,4135441,23.4999797917,4131961,27.4800939894,4240051,233205,-3480
1700,LIVEPERSON INC,6.75460902734,75504,5.84627180372,20868,6.35131292066,31647,8.41017743605,267533,-54636,10779
1701,LKQ CORP,29.6300352514,6610792,31.9300933744,4484954,31.6998337566,2676197,35.4598124396,2349110,-2125838,-1808757
1702,LLOYDS BANKING GROUP PLC,4.35979593396,3218958,3.94994083554,3661827,2.96995046547,3959662,2.87021878453,4145677,442869,297835
1703,LOCKHEED MARTIN CORP,217.151171138,835768,221.499660413,1139618,248.170581994,912312,239.720348338,815300,303850,-227306
1704,LOEWS CORP,38.3992283254,1235754,38.2600126902,1516126,41.0903123111,1296656,41.1502459914,1364682,280372,-219470
1705,LOGITECH INTL S A,15.0688556789,627254,15.9098139486,1018428,16.2799016875,1772308,22.4595604848,1064491,391174,753880
1706,LOGMEIN INC,67.0978870203,46380,50.4641129559,107086,63.4312473393,75168,90.3999738508,91781,60706,-31918
1707,LOMBARD MED INC,1.36649357748,18295,1.04370927952,31618,1.08854772719,26641,0.932005930947,23605,13323,-4977
1708,LORAL SPACE & COMMUNICATNS I,40.7115976736,111074,35.1289675679,14461,35.2594940291,17669,39.1070133637,19306,-96613,3208
1709,LOUISIANA PAC CORP,18.0109953878,632447,17.1201524235,1345724,17.3502764389,1501417,18.8302942693,1741874,713277,155693
1710,LOWES COS INC,76.0400737282,4299575,75.750025959,4786401,79.170038503,4175519,72.2101579652,3673846,486826,-610882
1711,LPL FINL HLDGS INC,42.6591306688,81741,24.8038004141,124618,22.5277571651,142846,29.9087716198,181084,42877,18228
1712,LSI INDS INC,12.1896929913,123547,11.7484968064,133549,11.0679053441,132184,11.2323986528,123215,10002,-1365
1713,LTC PPTYS INC,43.1380514368,103389,45.238242383,275077,51.7299005892,104717,51.9904473933,103846,171688,-170360
1714,LULULEMON ATHLETICA INC,52.4705081613,402569,67.7096849936,242757,73.8614669598,227859,60.9809353549,879324,-159812,-14898
1715,LUMBER LIQUIDATORS HLDGS INC,17.3451556534,30902,13.1437190261,18564,15.4286805423,26185,19.6721311475,14030,-12338,7621
1716,LUMENTUM HLDGS INC,22.0205251233,750300,26.9685380489,248141,24.2005671131,35619,41.7659365527,117105,-502159,-212522
1717,LUMINEX CORP DEL,21.3859875042,104835,19.4051242411,62097,20.2284193496,104457,22.7198452227,229491,-42738,42360
1718,LUXOFT HLDG INC,77.0098730606,3545,54.9715286903,4566,52.037149391,21427,52.8569455316,21719,1021,16861
1719,LUXOTTICA GROUP S P A,64.8767844017,25849,55.0186585016,20902,48.8408037094,19410,47.8314558605,39681,-4947,-1492
1720,LYDALL INC DEL,35.4965744187,18537,32.5494053474,11183,38.5899576217,15574,51.1213818031,67506,-7354,4391
1721,LYON WILLIAM HOMES,16.5002602304,1087498,14.4893553449,1010742,16.1194941791,916530,18.5498001052,921735,-76756,-94212
1722,LYONDELLBASELL INDUSTRIES N,86.9004815775,2812424,85.579854375,2540224,74.4198299284,2239645,80.6594746318,2468935,-272200,-300579
1723,M & T BK CORP,121.180362382,2165945,110.999981855,3637406,118.230221076,2253434,116.099584877,898048,1471461,-1383972
1724,M D C HLDGS INC,25.525069038,78942,25.0712758375,56120,24.3329917017,30247,25.79763443,201220,-22822,-25873
1725,M/I HOMES INC,21.919448441,1139171,18.6500854231,1048896,18.8299156017,1479295,23.569593068,1288864,-90275,430399
1726,MA COM TECHNOLOGY SOLUTIONS,40.8924431303,29761,43.7944537681,12513,32.9713815373,63176,42.336728729,241209,-17248,50663
1727,MACATAWA BK CORP,6.03430741067,14749,6.2497003021,62563,7.42630202447,61942,8.00656949292,19484,47814,-621
1728,MACERICH CO,80.6897003692,1342786,79.2402335517,2405634,85.3898644098,734935,80.8706239114,709652,1062848,-1670699
1729,MACK CALI RLTY CORP,23.3494824739,698902,23.4995565906,1311429,26.9992638694,1195440,27.2192731495,1056641,612527,-115989
1730,MACQUARIE INFRASTRUCTURE COR,72.6001169431,1520397,67.4405352525,1505682,74.0499370924,1259785,83.2394308105,1212250,-14715,-245897
1731,MACROCURE LTD,1.2745347948,11769,0.88621056363,16926,1.45572179539,12365,1.4523156366,12394,5157,-4561
1732,MACROGENICS INC,31.003217315,6838,18.756698821,16794,27.0050310743,13516,29.913772738,33864,9956,-3278
1733,MACYS INC,34.9798259026,2282630,44.0897379303,1900601,33.6100896113,4449884,37.0501191271,2845281,-382029,2549283
1734,MADDEN STEVEN LTD,30.21883508,572623,37.0391705746,850613,34.1800382677,732211,34.5601070441,588916,277990,-118402
1735,MADISON SQUARE GARDEN CO NEW,161.838893409,12290,166.376754784,40817,172.513674058,68012,169.410493057,48108,28527,27195
1736,MAGELLAN HEALTH INC,61.6400162766,66353,67.9304764859,119269,65.770503787,196988,53.7324063838,134779,52916,77719
1737,MAGELLAN MIDSTREAM PRTNRS LP,67.9199861206,11608586,68.7999940622,11047937,76.0000169829,11305458,70.7399415336,10532197,-560649,257521
1738,MAGICJACK VOCALTEC LTD,9.43894621914,28393,6.56197845547,52728,6.28774459534,96537,6.09030130964,87352,24335,43809
1739,MAGNA INTL INC,40.5602102129,1566412,42.9597384227,2361979,35.0700433493,1643625,42.9507193298,794003,795567,-718354
1740,MAGNEGAS CORP,1.60565189467,28026,1.04912367317,16204,0.593052809941,35410,0.645483442741,82109,-11822,19206
1741,MAIDEN HOLDINGS LTD,14.9100222204,3981483,12.9401313285,4042231,12.2398890581,3853548,12.6900807063,3280909,60748,-188683
1742,MAIN STREET CAPITAL CORP,29.0700772715,37530,31.3236239023,18676,32.8640386163,24860,34.344953112,25273,-18854,6184
1743,MAKEMYTRIP LIMITED MAURITIUS,17.1595330739,154200,18.090694737,493237,14.8868380576,18204,23.586332023,16535,339037,-475033
1744,MALLINCKRODT PUB LTD CO,74.6298935512,2548456,61.2797227794,2526219,60.779827668,1850614,69.7806074139,695967,-22237,-675605
